Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,"Returned Refugees","Asylum Seekers",IDPs,"Returned IDPs",Stateless,HST,OOC
1991,-,Afghanistan,-,AFG,6306301,178270,0,0,0,0,0,0
1991,-,Albania,-,ALB,3542,220,0,0,0,0,0,0
1991,-,Algeria,-,DZA,55,0,0,0,0,0,0,0
1991,-,Angola,-,AGO,381638,35280,0,0,0,0,0,0
1991,-,Egypt,-,EGY,98,0,0,0,0,0,0,0
1991,-,Argentina,-,ARG,196,0,0,0,0,0,0,0
1991,-,Bahrain,-,BHR,52,0,0,0,0,0,0,0
1991,-,Burundi,-,BDI,223942,6580,0,0,0,0,0,0
1991,-,Bangladesh,-,BGD,613,0,0,0,0,0,0,0
1991,-,Bhutan,-,BTN,9504,0,0,0,0,0,0,0
1991,-,"Burkina Faso",-,BFA,6,0,0,0,0,0,0,0
1991,-,"Bolivia (Plurinational State of)",-,BOL,67,0,0,0,0,0,0,0
1991,-,Botswana,-,BWA,5,0,0,0,0,0,0,0
1991,-,Brazil,-,BRA,11,0,0,0,0,0,0,0
1991,-,Bulgaria,-,BGR,2733,0,0,0,0,0,0,0
1991,-,Cambodia,-,KHM,43166,70,0,0,0,0,0,0
1991,-,Canada,-,CAN,5,0,0,0,0,0,0,0
1991,-,"Central African Rep.",-,CAF,320,0,0,0,0,0,0,0
1991,-,Chad,-,TCD,72317,57370,0,0,0,0,0,0
1991,-,China,-,CHN,2011,0,0,0,0,0,0,0
1991,-,Chile,-,CHL,14006,230,0,0,0,0,0,0
1991,-,Congo,-,COG,5,0,0,0,0,0,0,0
1991,-,"Dem. Rep. of the Congo",-,COD,65816,0,0,0,0,0,0,0
1991,-,Colombia,-,COL,738,0,0,0,0,0,0,0
1991,-,Cuba,-,CUB,17614,80,0,0,0,0,0,0
1991,-,Czechia,-,CZE,4491,0,0,0,0,0,0,0
1991,-,Djibouti,-,DJI,10,0,0,0,0,0,0,0
1991,-,Ecuador,-,ECU,27,0,0,0,0,0,0,0
1991,-,"Equatorial Guinea",-,GNQ,60,0,0,0,0,0,0,0
1991,-,Eritrea,-,ERI,500633,0,0,0,0,0,0,0
1991,-,Ethiopia,-,ETH,251243,53840,0,0,0,0,0,0
1991,-,Gambia,-,GMB,16,0,0,0,0,0,0,0
1991,-,"State of Palestine",-,PSE,65177,0,0,0,0,0,0,0
1991,-,Germany,-,DEU,5,0,0,0,0,0,0,0
1991,-,Ghana,-,GHA,4702,0,0,0,0,0,0,0
1991,-,Guinea-Bissau,-,GNB,5006,0,0,0,0,0,0,0
1991,-,Greece,-,GRC,6,0,0,0,0,0,0,0
1991,-,Grenada,-,GRD,5,0,0,0,0,0,0,0
1991,-,Guatemala,-,GTM,52584,1750,0,0,0,0,0,0
1991,-,Haiti,-,HTI,1857,500,0,0,0,0,0,0
1991,-,Honduras,-,HND,21,0,0,0,0,0,0,0
1991,-,Hungary,-,HUN,4734,0,0,0,0,0,0,0
1991,-,"Cote d'Ivoire",-,CIV,15,0,0,0,0,0,0,0
1991,-,India,-,IND,406,0,0,0,0,0,0,0
1991,-,Indonesia,-,IDN,6164,540,0,0,0,0,0,0
1991,-,"Iran (Islamic Rep. of)",-,IRN,130366,380,0,0,0,0,0,0
1991,-,Iraq,-,IRQ,1321853,1336810,0,0,0,0,0,0
1991,-,Israel,-,ISR,28,0,0,0,0,0,0,0
1991,-,Jordan,-,JOR,114,0,0,0,0,0,0,0
1991,-,Kenya,-,KEN,31,0,0,0,0,0,0,0
1991,-,"Rep. of Korea",-,KOR,5,0,0,0,0,0,0,0
1991,-,Kuwait,-,KWT,49,0,0,0,0,0,0,0
1991,-,"Lao People's Dem. Rep.",-,LAO,122328,3081,0,0,0,0,0,0
1991,-,Liberia,-,LBR,673433,99970,0,0,0,0,0,0
1991,-,Libya,-,LBY,841,0,0,0,0,0,0,0
1991,-,Lebanon,-,LBN,8501,0,0,0,0,0,0,0
1991,-,Lesotho,-,LSO,5,0,0,0,0,0,0,0
1991,-,"Sri Lanka",-,LKA,209349,0,0,0,0,0,0,0
1991,-,Lithuania,-,LTU,5,0,0,0,0,0,0,0
1991,-,Mauritania,-,MRT,79874,1400,0,0,0,0,0,0
1991,-,Mali,-,MLI,14705,0,0,0,0,0,0,0
1991,-,Malaysia,-,MYS,5,0,0,0,0,0,0,0
1991,-,Malawi,-,MWI,50,0,0,0,0,0,0,0
1991,-,Morocco,-,MAR,46,0,0,0,0,0,0,0
1991,-,Mozambique,-,MOZ,1316635,340,0,0,0,0,0,0
1991,-,Myanmar,-,MMR,40052,0,0,0,0,0,0,0
1991,-,Namibia,-,NAM,204,250,0,0,0,0,0,0
1991,-,Nicaragua,-,NIC,46789,6100,0,0,0,0,0,0
1991,-,Nigeria,-,NGA,22,0,0,0,0,0,0,0
1991,-,Pakistan,-,PAK,523,0,0,0,0,0,0,0
1991,-,Panama,-,PAN,640,0,0,0,0,0,0,0
1991,-,Paraguay,-,PRY,8,0,0,0,0,0,0,0
1991,-,Peru,-,PER,473,0,0,0,0,0,0,0
1991,-,Philippines,-,PHL,15,0,0,0,0,0,0,0
1991,-,Poland,-,POL,21643,0,0,0,0,0,0,0
1991,-,Romania,-,ROU,27177,150,0,0,0,0,0,0
1991,-,"South Africa",-,ZAF,11205,4710,0,0,0,0,0,0
1991,-,"Russian Federation",-,RUS,155576,0,0,0,0,0,0,0
1991,-,Rwanda,-,RWA,431239,0,0,0,0,0,0,0
1991,-,"El Salvador",-,SLV,33048,2550,0,0,0,0,0,0
1991,-,Senegal,-,SEN,25137,0,0,0,0,0,0,0
1991,-,Seychelles,-,SYC,67,0,0,0,0,0,0,0
1991,-,"Sierra Leone",-,SLE,142614,0,0,0,0,0,0,0
1991,-,Somalia,-,SOM,732596,430,0,0,0,0,0,0
1991,-,"Serbia and Kosovo: S/RES/1244 (1999)",-,SRB,45826,7500,0,0,0,0,0,0
1991,-,"Viet Nam",-,VNM,498323,12623,0,0,0,0,0,0
1991,-,Stateless,-,XXA,38059,0,0,0,0,0,0,0
1991,-,Sudan,-,SDN,196242,370000,0,0,0,0,0,0
1991,-,Suriname,-,SUR,5921,630,0,0,0,0,0,0
