"country","iso2c","iso3c","year","lastupdated","edu_exp_gdp","gdp_per_capita","gov_exp_gdp","unemployment_rate","inflation_rate","population","urban_pop_percent","education_index","hdi_proxy","region","capital","longitude","latitude","income","lending","Country.of.Asylum","Country.of.Origin","Country.of.Asylum.ISO","Refugees","Returned.Refugees","Asylum.Seekers","IDPs","Returned.IDPs","Stateless","HST","OOC"
"Afghanistan","AF","AFG",2015,"2025-07-01",3.2558000087738,565.569730408751,NA,9.052,-0.661709164713742,33831764,24.803,53.2851409912109,590,"South Asia","Kabul",69.1761,34.5228,"Low income","IDA","-","Afghanistan","-",2666294,61381,258862,1174306,123653,0,0,150369
"Afghanistan","AF","AFG",2017,"2025-07-01",4.34319019317627,525.469770891619,NA,11.184,4.97595150553833,35688935,25.25,55.4021492004395,530,"South Asia","Kabul",69.1761,34.5228,"Low income","IDA","-","Afghanistan","-",2624265,60541,333986,1837079,32649,0,0,448040
"Afghanistan","AF","AFG",2016,"2025-07-01",4.54397010803223,522.082215583898,NA,10.133,4.38389195513915,34700612,25.02,53.5063400268555,560,"South Asia","Kabul",69.1761,34.5228,"Low income","IDA","-","Afghanistan","-",2501447,383950,369072,1797551,0,0,0,114221
"Afghanistan","AF","AFG",2014,"2025-07-01",3.69521999359131,625.054941813938,NA,7.915,4.67399603536345,32792523,24.587,54.235481262207,640,"South Asia","Kabul",69.1761,34.5228,"Low income","IDA","-","Afghanistan","-",2596259,17815,85407,805409,0,0,0,201361
"Afghanistan","AF","AFG",2009,"2025-07-01",4.81063985824585,452.053705477043,NA,7.754,-6.81116108898996,27466101,23.528,44.3971710205078,460,"South Asia","Kabul",69.1761,34.5228,"Low income","IDA","-","Afghanistan","-",2887114,57577,30406,297129,7225,0,0,1479
"Afghanistan","AF","AFG",2013,"2025-07-01",3.45445990562439,637.087099117099,NA,7.93,7.38577178397855,31622704,24.373,54.7542190551758,670,"South Asia","Kabul",69.1761,34.5228,"Low income","IDA","-","Afghanistan","-",2556483,39665,75284,631286,21830,0,0,275817
"Afghanistan","AF","AFG",2006,"2025-07-01",4.68476057052612,274.218553561575,NA,7.914,6.78459655001655,25424094,22.907,29.6913509368896,270,"South Asia","Kabul",69.1761,34.5228,"Low income","IDA","-","Afghanistan","-",2107510,387912,14959,129310,10443,0,0,100372
"Afghanistan","AF","AFG",2010,"2025-07-01",3.4794499874115,560.621505463146,NA,7.753,2.17853752389419,28284089,23.737,50.413688659668,530,"South Asia","Kabul",69.1761,34.5228,"Low income","IDA","-","Afghanistan","-",3054699,118031,37101,351907,3366,0,0,839323
"Afghanistan","AF","AFG",2011,"2025-07-01",3.4620099067688,606.694676337726,NA,7.784,11.8041858089129,29347708,23.948,52.198429107666,550,"South Asia","Kabul",69.1761,34.5228,"Low income","IDA","-","Afghanistan","-",2664423,71145,39199,447547,75453,0,0,952531
"Afghanistan","AF","AFG",2012,"2025-07-01",2.60419988632202,651.417134470046,NA,7.856,6.44121280934117,30560034,24.16,54.2063903808594,640,"South Asia","Kabul",69.1761,34.5228,"Low income","IDA","-","Afghanistan","-",2586132,98611,62304,486298,18830,0,0,880468
"Afghanistan","AF","AFG",2007,"2025-07-01",4.17489528656006,376.223152003876,NA,7.817,8.68057078513406,25909852,23.113,29.0891704559326,330,"South Asia","Kabul",69.1761,34.5228,"Low income","IDA","-","Afghanistan","-",3057655,373855,16077,153718,8012,0,0,411
"Afghanistan","AF","AFG",2008,"2025-07-01",4.38367223739624,381.73323802844,NA,7.878,26.4186641547444,26482622,23.32,39.090030670166,370,"South Asia","Kabul",69.1761,34.5228,"Low income","IDA","-","Afghanistan","-",2833116,278483,23177,230670,6453,0,0,2101
"Albania","AL","ALB",2021,"2025-07-01",3.02255988121033,6413.28280828537,12.8352254087666,11.474,2.04147163139549,2811666,62.969,97.6650314331055,6150,"Europe & Central Asia","Tirane",19.8172,41.3317,"Upper middle income","IBRD","-","Albania","-",19847,0,22331,0,0,0,0,0
"Albania","AL","ALB",2010,"2025-07-01",3.41307497024536,4149.14469936847,11.6894266755022,14.086,3.62604695579816,2913021,52.163,93.6818237304688,4430,"Europe & Central Asia","Tirane",19.8172,41.3317,"Upper middle income","IBRD","-","Albania","-",14771,0,1350,0,0,0,0,36
