Country Name,Year,Key,EduExp_GDP,Refugees
Canada,2010,Canada2010,5.356369972229,
Canada,2011,Canada2011,5.26205015182495,
Canada,2012,Canada2012,4.69258737564087,
Canada,2013,Canada2013,4.5890097618103,
Canada,2014,Canada2014,4.84358978271484,
Canada,2015,Canada2015,4.7393798828125,
Canada,2016,Canada2016,4.81642007827759,
Canada,2017,Canada2017,4.95996999740601,
Canada,2018,Canada2018,4.8889799118042,
Canada,2019,Canada2019,4.77293014526367,101757
Canada,2020,Canada2020,4.88794994354248,109214
Canada,2021,Canada2021,4.74860000610352,130125
Canada,2022,Canada2022,4.13957166671753,140621
United Kingdom,2010,United Kingdom2010,5.69867992401123,
United Kingdom,2011,United Kingdom2011,5.57218980789185,
United Kingdom,2012,United Kingdom2012,5.57887411117554,
United Kingdom,2013,United Kingdom2013,5.52530002593994,
United Kingdom,2014,United Kingdom2014,5.60134983062744,
United Kingdom,2015,United Kingdom2015,5.55452013015747,
United Kingdom,2016,United Kingdom2016,5.42795991897583,
United Kingdom,2017,United Kingdom2017,5.45256996154785,
United Kingdom,2018,United Kingdom2018,5.20437002182007,
United Kingdom,2019,United Kingdom2019,5.26115989685059,
United Kingdom,2020,United Kingdom2020,5.43935012817383,
United Kingdom,2021,United Kingdom2021,5.90458011627197,
United Kingdom,2022,United Kingdom2022,4.95917558670044,
India,2010,India2010,3.377690076828,
India,2011,India2011,3.79618000984192,
India,2012,India2012,4.08479833602905,
India,2013,India2013,3.84467005729675,
India,2014,India2014,3.89878034591675,
India,2015,India2015,4.11499166488647,
India,2016,India2016,4.256516456604,
India,2017,India2017,4.30639696121216,
India,2018,India2018,4.3769326210022,
India,2019,India2019,3.89732360839844,195103
India,2020,India2020,4.04014158248901,195373
India,2021,India2021,4.63514137268066,212413
India,2022,India2022,4.12072849273682,242835
Japan,2010,Japan2010,3.59951996803284,
Japan,2011,Japan2011,3.60527992248535,
Japan,2012,Japan2012,3.41945004463196,
Japan,2013,Japan2013,3.40875005722046,
Japan,2014,Japan2014,3.41529989242554,
Japan,2015,Japan2015,3.31221008300781,
Japan,2016,Japan2016,3.14643001556396,
Japan,2017,Japan2017,3.13057994842529,
Japan,2018,Japan2018,3.07782006263733,
Japan,2019,Japan2019,3.15533995628357,1463
Japan,2020,Japan2020,3.30628991127014,1132
Japan,2021,Japan2021,3.33563995361328,1508
Japan,2022,Japan2022,3.23762130737305,15451
Kenya,2010,Kenya2010,4.81548976898193,
Kenya,2011,Kenya2011,4.70012998580933,
Kenya,2012,Kenya2012,4.93121004104614,
Kenya,2013,Kenya2013,4.83721017837524,
Kenya,2014,Kenya2014,4.7172999382019,
Kenya,2015,Kenya2015,4.9494514465332,
Kenya,2016,Kenya2016,4.66556310653687,
Kenya,2017,Kenya2017,4.26874256134033,
Kenya,2018,Kenya2018,5.32192516326904,
Kenya,2019,Kenya2019,5.37359189987183,438899
Kenya,2020,Kenya2020,5.04574871063232,452916
Kenya,2021,Kenya2021,4.89040184020996,481048
Kenya,2022,Kenya2022,4.51101779937744,504473
Kenya,2023,Kenya2023,3.96229314804077,538899
Philippines,2014,Philippines2014,2.66454243659973,
Philippines,2015,Philippines2015,2.8305230140686,
Philippines,2016,Philippines2016,3.3012809753418,
Philippines,2017,Philippines2017,3.9638409614563,
Philippines,2018,Philippines2018,3.85502767562866,
Philippines,2019,Philippines2019,3.40748643875122,680
Philippines,2020,Philippines2020,3.85829043388367,709
Philippines,2021,Philippines2021,3.87249755859375,801
Philippines,2022,Philippines2022,3.57960081100464,856
Philippines,2023,Philippines2023,3.62368631362915,934
United States,2010,United States2010,6.6945538520813,
United States,2011,United States2011,6.49768352508545,
United States,2012,United States2012,6.25388622283936,
United States,2013,United States2013,6.22925806045532,
United States,2014,United States2014,6.12920570373535,
United States,2015,United States2015,4.93063020706177,
United States,2016,United States2016,4.78327989578247,
United States,2017,United States2017,5.09296989440918,
United States,2018,United States2018,4.89502000808716,
United States,2019,United States2019,4.95746994018555,
United States,2020,United States2020,5.39998006820679,
United States,2021,United States2021,5.42829990386963,
