Origin,Destination,Mixed
Afghanistan,Australia,Bangladesh
Albania,Austria,"Egypt, Arab Rep."
Algeria,Belgium,"Iran, Islamic Rep."
Angola,Canada,Jordan
Armenia,Chile,Pakistan
Azerbaijan,Colombia,Turkey
Belarus,Costa Rica,"Venezuela, RB"
Benin,Denmark,Iraq
Bhutan,Ecuador,Lebanon
Bolivia,Finland,Sudan
Bosnia and Herzegovina,France,South Sudan
Burkina Faso,Germany,Uganda
Burundi,Greece,Ethiopia
Cabo Verde,Hungary,Nigeria
Cambodia,Ireland,Colombia
Cameroon,Israel,Kenya
Central African Republic,Italy,
Chad,Japan,
China,Luxembourg,
Comoros,Malta,
"Congo, Dem. Rep.",Mexico,
"Congo, Rep.",Netherlands,
Cuba,New Zealand,
Cote d'Ivoire,Norway,
Djibouti,Peru,
El Salvador,Poland,
Equatorial Guinea,Portugal,
Eritrea,Romania,
Eswatini,Russian Federation,
Gambia,Spain,
Georgia,Sweden,
Ghana,Switzerland,
Guinea,United Kingdom,
Guinea-Bissau,United States,
Haiti,Turkey,
Honduras,Brazil,
Kosovo,Argentina,
Kyrgyz Republic,,
Liberia,,
Libya,,
Madagascar,,
Malawi,,
Mali,,
Mauritania,,
Moldova,,
Mongolia,,
Morocco,,
Mozambique,,
Myanmar,,
Nepal,,
Nicaragua,,
Niger,,
North Macedonia,,
Rwanda,,
Sierra Leone,,
Somalia,,
Syrian Arab Republic,,
Tajikistan,,
Togo,,
Tunisia,,
Turkmenistan,,
Ukraine,,
Uzbekistan,,
West Bank and Gaza,,
"Yemen, Rep.",,
Zambia,,
Zimbabwe,,
